optimization_id,domain,priority,owner,current_state,optimization_action,acceptance_evidence,stage,status
OPT-PWR-001,power,P0,Electrical Owner,U2 isolated converter is a requirement envelope only,Freeze an orderable 36-60V to regulated 12V 240W-class MPN and replace the placeholder symbol footprint placement routing and thermal model,owner AVL plus supplier land-pattern approval plus regenerated ERC DRC connectivity and thermal review,EVT,OPEN
OPT-PWR-002,power,P0,Electrical Owner,Regeneration clamp and absorption path are not selected,Select brake switch TVS or active clamp and bulk reservoir from measured worst-case energy,scope capture of bus overshoot and component SOA plus signed energy budget,EVT,OPEN
OPT-PWR-003,power,P1,Electrical Owner,Input inrush reverse-polarity and branch limits are analytical,Run 36/48/60V inrush UV OV reverse and short-circuit tests against the controlled limits,dated fixture log with calibrated probe serials and raw captures,EVT,OPEN
OPT-THERM-001,thermal,P0,Electrical Owner,High-current path and U2/U3 thermal risks remain open,Complete copper loss junction rise and enclosure thermal model with selected parts,reviewed thermal budget plus four-hour closed-enclosure soak log,EVT,OPEN
OPT-THERM-002,thermal,P1,Mechanical Owner,Motor driver heatsink and interface are conceptual,Freeze heatsink TIM retention and airflow path for the childboard,thermal interface drawing plus torque record and measured thermocouple map,EVT,OPEN
OPT-CAN-001,emc,P1,Electrical Owner,CAN impedance coupling and reference-plane continuity need manual review,Perform controlled field-solver or supplier impedance review and close stub/via transitions,stackup coupon result plus signed CAN layout review and eye/BER capture,EVT,OPEN
OPT-CAN-002,emc,P1,Electrical Owner,Shield and drain termination are TBD in harness rows,Freeze one-point shield termination policy for controller and field endpoints,approved harness drawing plus continuity/isolation check records,EVT,OPEN
OPT-EMC-001,emc,P1,Compliance Owner,Pre-compliance plan exists but no lab evidence is attached,Run conducted/radiated emissions and immunity pre-scan on the assembled EVT unit,accredited or controlled lab report tied to serial and firmware revision,PRODUCTION,OPEN
OPT-SAFE-001,safety,P0,Safety Owner,Safety design analysis and dual-channel ECO are not approved,Approve discrepancy detection reset latch and hardware inhibit behavior across controller and childboard,signed safety analysis plus fault-injection timing captures,EVT,OPEN
OPT-SAFE-002,safety,P1,Safety Owner,Measured E-stop timing is not executed,Measure both channels from contact opening to motor inhibit under worst-case load,calibrated oscilloscope record with channel map and pass limits,PRODUCTION,OPEN
OPT-TEST-001,validation,P0,Electrical Owner,Seven dedicated fixture access points remain ECO_REQUIRED,Add or formally waive fixture pads for PGOOD fault current monitor and isolated-domain references,approved ECO plus updated PCB and fixture access audit,EVT,OPEN
OPT-TEST-002,validation,P1,Quality Owner,Physical bring-up evidence is absent,Execute the controlled bring-up matrix including rail corners load transients CAN and thermal soak,serialised raw test bundle with operator instrument and date metadata,PRODUCTION,OPEN
OPT-HAR-001,harness,P1,Harness Owner,Connector MPNs mating parts and drain termination are not frozen,Freeze keyed connectors contacts backshells strain relief and service loops,approved harness drawing AVL and continuity pull and chafe records,EVT,OPEN
OPT-HAR-002,harness,P0,Harness Owner,Two-motor stall current exceeds the controlled J2 envelope,Reduce motor branch demand or move traction power to a separately protected bus and recalculate fuse harness and connector limits,signed power architecture decision plus updated motor-driver and harness reports,EVT,OPEN
OPT-MECH-001,mechanical,P1,Mechanical Owner,Wheel hub tyre bearing and fastener interfaces are TBD,Select wheel/hub/bearing stack and freeze datums torque access and retention,approved mechanical drawing MPN list and measured sweep/chafe clearance,EVT,OPEN
OPT-MECH-002,mechanical,P1,Mechanical Owner,Battery pack envelope and restraint are not selected,Freeze pack chemistry BMS service disconnect restraint and impact/thermal clearances,approved battery drawing BMS evidence and physical fit/retention record,EVT,OPEN
OPT-MECH-003,mechanical,P2,Mechanical Owner,Childboard support and service removal are analytical,Verify standoff stack shock retention connector corridor and removal path on a representative assembly,fit-check photos dimensional record and fastener torque log,PRODUCTION,OPEN
OPT-DFM-001,manufacturing,P0,Supplier Owner,Supplier DFM and impedance coupon response are open,Obtain fab/assembly DFM closure including copper balance drill annular ring creepage and coupon plan,supplier-signed DFM response and controlled fabrication revision,EVT,OPEN
OPT-AVL-001,procurement,P0,Procurement Owner,161 role signatures are PENDING,Collect MPN datasheet revision AVL identity date and evidence for every required role,complete signature register with evidence paths and matching BOM hash,EVT,OPEN
OPT-REL-001,release,P1,Release Owner,Production has 16 release blockers,Re-run all upstream reports after each closure and preserve stage-specific fail-closed status,release report with zero binding mismatches and attached upstream evidence,PRODUCTION,OPEN
