closure_id,domain,priority,owner,dependency,evidence_ref,evidence_binding,status,closure_type,evt_order_blocker,production_release_blocker,requirement,next_action
HWC-AXIS-001,axes,P0,Motion and System Owners,OWNER+SUPPLIER,hardware/motor_driver/motor-candidate-matrix.csv,FILE,BLOCKED,ENGINEERING,yes,yes,freeze two traction motor MPNs electrical envelopes and shaft interfaces,approve a motor or alternate with supplier curves and drawings
HWC-AXIS-002,axes,P2,Motion and Validation Owners,PHYSICAL,hardware/motor_driver/verification-matrix.csv,FILE,NOT_EXECUTED,PHYSICAL,no,yes,validate wheel load dual-axis current limit stall and drivetrain duty,run controlled dyno and wheel-load tests
HWC-PWR-001,power,P0,System and Electrical Owners,OWNER+SUPPLIER,hardware/motor_driver/power-regen-budget.csv,FILE,BLOCKED,ENGINEERING,yes,yes,freeze 12 V or protected 48 V architecture branch protection and current envelope,approve architecture and protection coordination
HWC-PWR-002,power,P2,Electrical and Validation Owners,PHYSICAL,hardware/motor_driver/verification-matrix.csv,FILE,NOT_EXECUTED,PHYSICAL,no,yes,prove no J2 backfeed and bounded bus overshoot under worst regeneration,capture calibrated deceleration and back-drive waveforms
HWC-SAF-001,safety,P0,Safety Owner,OWNER,hardware/motor_driver/safety-gate-connectivity.csv,FILE,BLOCKED,SAFETY,yes,yes,approve independent A and B gates manual reset fault latch and controller ECO,attach signed safety design analysis
HWC-SAF-002,safety,P2,Safety and Validation Owners,PHYSICAL,hardware/motor_driver/verification-matrix.csv,FILE,NOT_EXECUTED,PHYSICAL,no,yes,measure disable timing and inject open short cross-fault and software-bypass cases,execute guarded safety fault tests
HWC-PCB-001,pcb,P0,Electrical Owner,REPOSITORY,hardware/pcb/generated/release_readiness.json,PRODUCTION_READY,BLOCKED,ENGINEERING,yes,yes,retain reproducible eight-layer schematic layout ERC DRC and connectivity evidence,rerun deterministic PCB checks after every controlled change
HWC-PCB-002,pcb,P0,Electrical and Procurement Owners,OWNER+SUPPLIER,hardware/pcb/component-approval-signatures.csv,FILE,BLOCKED,COMMERCIAL,yes,yes,select every orderable MPN and collect every required role signature against BOM hash and revision,complete AVL and per-role approval evidence
HWC-PCB-003,pcb,P1,Electrical Owner,OWNER+SUPPLIER,hardware/motor_driver/generated/release-readiness.json,PRODUCTION_READY,BLOCKED,ENGINEERING,yes,yes,replace traction concept board with approved schematic land patterns stackup and routed PCB,attach ERC DRC connectivity thermal and layout evidence
HWC-HAR-001,harness,P1,Harness Owner,OWNER+SUPPLIER,hardware/manufacturing/harness-spec.csv,FILE,BLOCKED,SUPPLIER,yes,yes,freeze connector MPNs drawings shield terminations retention and wire ratings,approve mating parts and supplier drawings
