reference,candidate,required_approver,decision,approved_mpn,datasheet_revision,approved_by,approved_at,evidence_ref
J1,10A keyed 4-pin industrial header,System + Electrical + Procurement Owners,PENDING,,,,,
F1,10A time-delay replaceable fuse,Electrical + Procurement Owners,PENDING,,,,,
U1,LM5069MM-2/NOPB,Electrical + Procurement Owners,PENDING,,,,,
U2,Vicor DCM 36-60V input 12V-class 240W module,Electrical + Procurement Owners,PENDING,,,,,
U3,6A minimum 12V e-fuse/load switch,Electrical + Procurement Owners,PENDING,,,,,
U4,12V-to-3.3V 6A synchronous buck,Electrical + Procurement Owners,PENDING,,,,,
U5,CH32V307VCT6,Firmware + Electrical + Procurement Owners,PENDING,,,,,
U6,ISO1042DW,Electrical + Procurement Owners,PENDING,,,,,
U7,3.3V-to-5V reinforced isolated 1W module,Electrical + Procurement Owners,PENDING,,,,,
U8,dual-channel safety controller or force-guided relay,Safety + Electrical + Procurement Owners,PENDING,,,,,
J2,16A keyed 4-pin header,Motion + Electrical + Procurement Owners,PENDING,,,,,
J3,5A keyed 4-pin header,System + Electrical + Procurement Owners,PENDING,,,,,
J5 J6,shielded keyed 4-pin CAN header,Electrical + Procurement Owners,PENDING,,,,,
J10,red keyed 4-pin E-stop header,Safety + Procurement Owners,PENDING,,,,,
J11,keyed 4-pin safety-output header,Safety + Motion + Procurement Owners,PENDING,,,,,
