reference,pin,net,direction,domain,freeze_status,verification
J1,1,VBAT_RAW,power_in,36-60V,OWNER_CONFIRMATION_REQUIRED,polarity_and_hipot
J1,2,VBAT_RAW,power_in,36-60V,OWNER_CONFIRMATION_REQUIRED,polarity_and_hipot
J1,3,GND_PWR,power_return,primary,OWNER_CONFIRMATION_REQUIRED,polarity_and_hipot
J1,4,GND_PWR,power_return,primary,OWNER_CONFIRMATION_REQUIRED,polarity_and_hipot
J3,1,JETSON_12V,power_out,SELV,DEVKIT_REVISION_CONFIRMATION_REQUIRED,loaded_voltage
J3,2,JETSON_12V,power_out,SELV,DEVKIT_REVISION_CONFIRMATION_REQUIRED,loaded_voltage
J3,3,GND,power_return,SELV,DEVKIT_REVISION_CONFIRMATION_REQUIRED,continuity
J3,4,GND,power_return,SELV,DEVKIT_REVISION_CONFIRMATION_REQUIRED,continuity
J2,1,12V_ISO,power_out,SELV,MOTION_OWNER_CONFIRMATION_REQUIRED,loaded_voltage
J2,2,12V_ISO,power_out,SELV,MOTION_OWNER_CONFIRMATION_REQUIRED,loaded_voltage
J2,3,GND,power_return,SELV,MOTION_OWNER_CONFIRMATION_REQUIRED,continuity
J2,4,GND,power_return,SELV,MOTION_OWNER_CONFIRMATION_REQUIRED,continuity
J4,1,3V3_LOGIC,power_out,logic,FROZEN_FOR_EVT,continuity
J4,2,GND,power_return,logic,FROZEN_FOR_EVT,continuity
J4,3,3V3_LOGIC,power_out,logic,FROZEN_FOR_EVT,continuity
J4,4,GND,power_return,logic,FROZEN_FOR_EVT,continuity
J4,5,SPI_SCLK,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,6,SPI_MOSI,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,7,SPI_MISO,input_to_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,8,JETSON_ENABLE_REQ,input_to_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,9,MOTOR_CS0,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,10,MOTOR_CS1,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,11,MOTOR_CS2,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,12,MOTOR_CS3,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,13,MOTOR_CS4,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,14,MOTOR_CS5,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,logic_analyser
J4,15,I2C_SDA,bidirectional,logic,PINMUX_CONFIRMATION_REQUIRED,bus_scan
J4,16,I2C_SCL,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,bus_scan
J4,17,ESTOP_SENSE,output_from_safety_gate,logic,SAFETY_OWNER_APPROVAL,gate_truth_table
J4,18,UART_TX,output_from_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,loopback
J4,19,UART_RX,input_to_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,loopback
J4,20,MCU_RESET,input_to_mcu,logic,PINMUX_CONFIRMATION_REQUIRED,reset_test
J5,1,CANH,bidirectional,CAN_ISO,FROZEN_FOR_EVT,CAN_error_counter
J5,2,CANL,bidirectional,CAN_ISO,FROZEN_FOR_EVT,CAN_error_counter
J5,3,GND_CAN_ISO,power_return,CAN_ISO,FROZEN_FOR_EVT,continuity
J5,4,NC,reserved,CAN_ISO,FROZEN_FOR_EVT,visual_inspection
J6,1,CANH,bidirectional,CAN_ISO,FROZEN_FOR_EVT,CAN_error_counter
J6,2,CANL,bidirectional,CAN_ISO,FROZEN_FOR_EVT,CAN_error_counter
J6,3,GND_CAN_ISO,power_return,CAN_ISO,FROZEN_FOR_EVT,continuity
J6,4,NC,reserved,CAN_ISO,FROZEN_FOR_EVT,visual_inspection
J10,1,ESTOP_12V,power_out,safety,SAFETY_OWNER_APPROVAL,channel_open_short
J10,2,ESTOP_CH_A_RETURN,input_to_safety_gate,safety,SAFETY_OWNER_APPROVAL,channel_open_short
J10,3,ESTOP_12V,power_out,safety,SAFETY_OWNER_APPROVAL,channel_open_short
J10,4,ESTOP_CH_B_RETURN,input_to_safety_gate,safety,SAFETY_OWNER_APPROVAL,channel_open_short
J12,1,ESTOP_CH_A_RETURN,power_in,safety,SAFETY_OWNER_APPROVAL,manual_reset_sequence
J12,2,RESET_CH_A_RETURN,input_to_relay_coil,safety,SAFETY_OWNER_APPROVAL,manual_reset_sequence
J12,3,ESTOP_CH_B_RETURN,power_in,safety,SAFETY_OWNER_APPROVAL,manual_reset_sequence
J12,4,RESET_CH_B_RETURN,input_to_relay_coil,safety,SAFETY_OWNER_APPROVAL,manual_reset_sequence
J11,1,MOTOR_ENABLE_SAFE,output_from_safety_gate,safety,SAFETY_OWNER_APPROVAL,disable_time
J11,2,ESTOP_SENSE,output_from_safety_gate,logic,SAFETY_OWNER_APPROVAL,truth_table
J11,3,GND,power_return,logic,SAFETY_OWNER_APPROVAL,continuity
J11,4,3V3_LOGIC,power_out,logic,SAFETY_OWNER_APPROVAL,loaded_voltage
