parameter,value,unit,basis,status
maximum_laden_mass,368,kg,maximum-lift mass ledger including two drive modules,ESTIMATE_NOT_MEASURED
maximum_speed,0.3,m/s,indoor guarded transport target,DESIGN_INPUT
maximum_acceleration,0.2,m/s2,tip and payload retention limit,DESIGN_INPUT
maximum_floor_slope,3,deg,controlled operating environment,DESIGN_INPUT
rolling_resistance_coefficient,0.02,ratio,industrial polyurethane wheel screen,VERIFY_SELECTED_WHEEL
drive_wheel_radius,0.1,m,200 mm candidate wheel,DESIGN_INPUT
traction_design_factor,2.0,ratio,allowance over combined acceleration slope and rolling load,DESIGN_INPUT
calculated_total_tractive_force,337.1,N,mass times acceleration plus slope and rolling terms,ANALYTICAL_NOT_MEASURED
calculated_minimum_wheel_torque_each,16.9,Nm,equal two-wheel load before design factor,ANALYTICAL_NOT_MEASURED
specified_continuous_wheel_torque_each,40,Nm,greater than 2x analytical requirement,CANDIDATE_REQUIREMENT
specified_peak_wheel_torque_each,80,Nm,start obstruction and controller limiting allowance,CANDIDATE_REQUIREMENT
calculated_slope_holding_torque_each,9.4,Nm,equal two-wheel share at 3 degrees,ANALYTICAL_NOT_MEASURED
specified_fail_safe_brake_torque_each,30,Nm,margin above 2x analytical holding requirement,CANDIDATE_REQUIREMENT
motor_power_class_each,400,W,48 V industrial geared servo or BLDC class,CANDIDATE_REQUIREMENT
estimated_dual_drive_bus_current,20,A,allowance including drive losses and controls,CANDIDATE_REQUIREMENT
