reference,pin,signal,direction,domain,interface_target,fail_state,freeze_status,verification
J_PWR,1,12V_MOTOR_AUX,power_in,power,controller J2 pin 1,deenergized,HARNESS_AND_CONNECTOR_TBD,polarity continuity loaded voltage
J_PWR,2,12V_MOTOR_AUX,power_in,power,controller J2 pin 2,deenergized,HARNESS_AND_CONNECTOR_TBD,polarity continuity loaded voltage
J_PWR,3,GND_MOTOR,power_return,power,controller J2 GND pin 3,deenergized,HARNESS_AND_CONNECTOR_TBD,continuity voltage drop
J_PWR,4,GND_MOTOR,power_return,power,controller J2 GND pin 4,deenergized,HARNESS_AND_CONNECTOR_TBD,continuity voltage drop
J_SAFE,1,SAFE_ENABLE_A,safety_input,safety,controller safety ECO channel A,bridge disabled and discrepancy latched,SAFETY_ECO_REQUIRED,open short cross-fault disable time
J_SAFE,2,SAFE_RETURN_A,safety_return,safety,controller safety ECO channel A,bridge disabled and discrepancy latched,SAFETY_ECO_REQUIRED,continuity isolation
J_SAFE,3,SAFE_ENABLE_B,safety_input,safety,controller safety ECO channel B,bridge disabled and discrepancy latched,SAFETY_ECO_REQUIRED,open short cross-fault disable time
J_SAFE,4,SAFE_RETURN_B,safety_return,safety,controller safety ECO channel B,bridge disabled and discrepancy latched,SAFETY_ECO_REQUIRED,continuity isolation
J_CAN,1,CANH,bidirectional,field_bus,controller isolated CAN trunk,no torque command accepted,PROTOCOL_AND_HARNESS_TBD,impedance waveform fault injection
J_CAN,2,CANL,bidirectional,field_bus,controller isolated CAN trunk,no torque command accepted,PROTOCOL_AND_HARNESS_TBD,impedance waveform fault injection
J_CAN,3,GND_CAN_ISO,power_return,field_bus,controller J5 or J6 pin 3,no torque command accepted,ISOLATED_CAN_AND_HARNESS_TBD,continuity common mode isolation
J_CAN,4,NC,reserved,field_bus,controller J5 or J6 pin 4,no torque command accepted,FROZEN_RESERVED,visual inspection
J_ML,1,MOTOR_L_A,power_out,motor,left motor terminal A,high impedance,MOTOR_AND_CONNECTOR_TBD,polarity current temperature
J_ML,2,MOTOR_L_B,power_out,motor,left motor terminal B,high impedance,MOTOR_AND_CONNECTOR_TBD,polarity current temperature
J_MR,1,MOTOR_R_A,power_out,motor,right motor terminal A,high impedance,MOTOR_AND_CONNECTOR_TBD,polarity current temperature
J_MR,2,MOTOR_R_B,power_out,motor,right motor terminal B,high impedance,MOTOR_AND_CONNECTOR_TBD,polarity current temperature
J_ENC_L,1,ENC_L_VCC,power_out,logic,left encoder power,off,ENCODER_TBD,loaded voltage
J_ENC_L,2,ENC_L_GND,power_return,logic,left encoder return,off,ENCODER_TBD,continuity
J_ENC_L,3,ENC_L_A,input,logic,left encoder channel A,no motion feedback,ENCODER_TBD,edge count direction
J_ENC_L,4,ENC_L_B,input,logic,left encoder channel B,no motion feedback,ENCODER_TBD,edge count direction
J_ENC_R,1,ENC_R_VCC,power_out,logic,right encoder power,off,ENCODER_TBD,loaded voltage
J_ENC_R,2,ENC_R_GND,power_return,logic,right encoder return,off,ENCODER_TBD,continuity
J_ENC_R,3,ENC_R_A,input,logic,right encoder channel A,no motion feedback,ENCODER_TBD,edge count direction
J_ENC_R,4,ENC_R_B,input,logic,right encoder channel B,no motion feedback,ENCODER_TBD,edge count direction
