reference,pins,pin_name,controlled_net,role,freeze_status,source_id
U1,1 44,GND,GND_LOGIC,device ground,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,2 11 12 21,VM,VM_PROTECTED,motor supply after fuse and reverse-current blocker,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,3,PGND3,GND_MOTOR,half-bridge 3 power return,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,4 5 6,OUT3,MOTOR_R_A,right motor output A,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,7 8 9,OUT4,MOTOR_R_B,right motor output B,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,10,PGND4,GND_MOTOR,half-bridge 4 power return,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,13,PGND2,GND_MOTOR,half-bridge 2 power return,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,14 15 16,OUT2,MOTOR_L_B,left motor output B,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,17 18 19,OUT1,MOTOR_L_A,left motor output A,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,20,PGND1,GND_MOTOR,half-bridge 1 power return,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,22,VCP,VCP,charge-pump output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,23,CPH,CPH,charge-pump switching node,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,24,CPL,CPL,charge-pump switching node,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,25,nSLEEP,NSLEEP_SAFE_A,channel-A dominant-low hardware gate,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,26,IN1,PWM_L_A,local controller PWM,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,27,IN2,PWM_L_B,local controller PWM,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,28,IN3,PWM_R_A,local controller PWM,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,29,IN4,PWM_R_B,local controller PWM,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,30,EN1,EN1_SAFE_B,channel-B dominant-low hardware gate,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,31,EN2,EN2_SAFE_B,channel-B dominant-low hardware gate,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,32,EN3,EN3_SAFE_B,channel-B dominant-low hardware gate,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,33,EN4,EN4_SAFE_B,channel-B dominant-low hardware gate,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,34,VREF,VREF_CURRENT_LIMIT,current-regulation reference,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,35,IPROPI1,IPROPI_L_A,current-sense output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,36,IPROPI2,IPROPI_L_B,current-sense output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,37,IPROPI3,IPROPI_R_A,current-sense output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,38,IPROPI4,IPROPI_R_B,current-sense output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,39,MODE,MODE_SLEW_STRAP,output slew configuration,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,40,OCPM,OCP_LATCH_STRAP,latched overcurrent configuration,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,41,nFAULT,DRV_NFAULT,open-drain fault diagnostic plus dual independent hardware inhibit source,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,42,VCC,VCC_LOGIC,logic supply,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
U1,43,DVDD,DVDD_5V,internal regulator output,CANDIDATE_PINOUT,SRC-TI-DRV8962-DS
