test_id,scope,method,acceptance,equipment,evidence_ref,status,release_blocker
MTR-V01,motor identity,record left and right MPN revision and supplier evidence,both motors have owner-approved identical electrical envelopes,document review,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V02,input power,sweep approved J2 voltage and simultaneous commanded load,input remains within 120 W aggregate and approved harness drop,programmable supply electronic load oscilloscope,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V03,stall protection,apply bounded locked-rotor event to each axis independently and together,fuse current limit OCP and thermal response meet approved timing,current probes dyno thermocouples,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V04,regeneration,run worst-case commanded deceleration and mechanical back-drive,local bus remains below approved limit with no current returned into J2,dyno differential voltage and current probes oscilloscope,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V05,safety channel A,open short and cross-fault SAFE A during motion,both axes deenergize within approved time and latch until manual reset,safety timer current probes fault fixture,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V06,safety channel B,open short and cross-fault SAFE B during motion,both axes deenergize within approved time and latch until manual reset,safety timer current probes fault fixture,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V07,software bypass,hold maximum torque request while removing each safety channel,no CAN MCU PWM or reset sequence re-enables either bridge,logic analyser current probes fault fixture,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V08,driver fault,inject nFAULT OCP UVLO and overtemperature representatives,bridge enters approved deenergized latched response without automatic motion,programmable supply fault fixture thermal chamber,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V09,thermal,run approved simultaneous duty at maximum ambient,junction estimate heatsink case PCB connector and motor temperatures remain below approved derated limits,thermal chamber thermocouples IR camera,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V10,EMC,exercise PWM and CAN at worst-case harness configuration,emissions immunity CAN integrity and false-enable behavior meet approved limits,EMC facility current probes CAN analyser,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V11,connectivity,compare detailed schematic netlist PCB and harness against controlled pin tables,all pins match with zero unintended shorts or opens,KiCad CLI netlist audit continuity fixture,NOT_ATTACHED,NOT_EXECUTED,yes
MTR-V12,mechanical,verify motor and childboard envelopes mounts heatsink retention and cable service,no interference and all service clearances meet approved drawing,metrology tools torque tools inspection fixture,NOT_ATTACHED,NOT_EXECUTED,yes
