serial,operation,station,quality_gate,fixture_id,calibration_due,operator,start_time,end_time,result,defect_code,evidence_uri
,010,RECEIVE,QG-01,,,,,,,,
,020,KIT,QG-02,,,,,,,,
,030,SMT,QG-03,,,,,,,,
,040,REFLOW,QG-04,,,,,,,,
,050,PCBA_INSPECT,QG-05,,,,,,,,
,060,PCBA_TEST,QG-06,,,,,,,,
,070,CHASSIS,QG-07,,,,,,,,
,080,PCBA_INSTALL,QG-08,,,,,,,,
,090,HARNESS,QG-09,,,,,,,,
,100,SHELL,QG-10,,,,,,,,
,110,SAFETY_TEST,QG-11,,,,,,,,
,120,FUNCTIONAL_TEST,QG-12,,,,,,,,
,130,FINAL_INSPECT,QG-13,,,,,,,,
,140,PACK,QG-14,,,,,,,,
