reference,name,pins,rating,signals,keying
J1,48V_INPUT,4,60V 10A,"VBAT+,VBAT+,VBAT-,VBAT-",mandatory
J2,12V_MOTOR_AUX,4,12V 16A,"12V,12V,GND,GND",mandatory
J3,JETSON_DEVKIT_POWER,4,12V 5A,"12V,12V,GND,GND",mandatory
J4,JETSON_MCU_BACKPLANE,20,3.3V 0.5A,"3V3,GND,SPI,I2C,UART,MOTOR_ENABLE_REQ,CS0..CS5,ESTOP_SENSE,MCU_RESET",polarized
J5,CAN_A,4,70V fault,"CANH,CANL,GND_CAN_ISO,NC",mandatory
J6,CAN_B,4,70V fault,"CANH,CANL,GND_CAN_ISO,NC",mandatory
J7,MOTOR_SPI_HARNESS_ENDPOINT,18,3.3V 0.2A,"SCLK,MOSI,MISO,CS0..CS5,FAULT0..5,GND",polarized
J8,CURRENT_ADC_HARNESS_ENDPOINT,14,3.3V 0.1A,"ADC0..ADC5,AGND pairs",polarized
J9,SENSOR_DAUGHTERBOARD_ENDPOINT,20,5V 1A,"I2C,SPI,ADC,GPIO,5V,3V3,GND",polarized
J10,ESTOP_LOOP,4,12V 0.2A,"CH_A_OUT,CH_A_RETURN,CH_B_OUT,CH_B_RETURN",red keyed
J11,SAFETY_GATE_OUTPUT,4,3.3V 0.2A,"MOTOR_ENABLE_SAFE,ESTOP_SENSE,GND,3V3",mandatory
TP1-TP8,TEST_POINTS,1,probe,"VBAT_PROTECTED,12V_ISO,JETSON_12V,3V3,GND,CANH,CANL,RESET",n/a
