id,category,description,probability,impact,owner,trigger,mitigation,contingency,status,next_review,evidence_ref
R-001,release,"Tag release fails after image verification because the SBOM action attempts a privileged release-asset upload",high,high,Integration,"Any tag run ends with Resource not accessible by integration","Disable implicit release-asset upload; retain SPDX through the pinned artifact step; protect with a regression test","Keep release blocked and rerun only after human review; do not grant contents write",mitigating,2026-08-12,https://github.com/Quchaosheng/workbench-desk-robot/actions/runs/31406815969
R-002,verification,"Formal Gazebo evaluation evidence is absent",high,critical,Simulation+Integration,"P1 gate review has fewer than 36 eligible external-runner logs or lacks independent false-completion audit","Freeze launch/run commands and artifact layout; run the fixed scene/version matrix; index immutable raw logs","Stop P1 gate; reduce optional UI/LLM scope before reducing safety or verification scope",open,2026-08-14,docs/evaluation/failure-cases.md
R-003,hardware,"Hardware release has unresolved physical and commercial gates",high,critical,Hardware-Owner,"hardware release report blocker_count is greater than zero","Review each gate weekly; attach dated external evidence; preserve NOT_EXECUTED and BLOCKED states","Keep hardware release blocked and continue simulation-only work",open,2026-08-14,hardware/release/generated/release_readiness_report.json
R-004,procurement,"Orders lack dated quotes AVL approval and incoming inspection evidence",high,high,Procurement,"procurement report status is ORDER_RELEASE_BLOCKED","Collect comparable dated quotes; approve AVL; define and execute incoming inspection","Do not place production order; use approved evaluation samples only",open,2026-08-14,hardware/procurement/generated/procurement_report.json
R-005,reproducibility,"External cold-start claim has fewer than three unique participant records",medium,high,Project-Owner,"Any phase gate cites external reproducibility without three validated records","Schedule three independent participants; preserve failures and environment metadata","Block the reproducibility claim and publish internal-only startup evidence",open,2026-08-18,docs/evaluation/cold-start-test.md
R-006,compliance,"Repository code license and model-weight/asset approvals can diverge",medium,high,Project-Owner+Compliance,"A release includes a model weight or asset without a reviewed source license and redistribution decision","Maintain separate third-party records; review every model and asset before inclusion","Exclude the unapproved model or asset; keep deterministic offline mode",open,2026-08-18,THIRD_PARTY_REVIEW.md
R-007,contracts,"Schema and Python model drift can break producers and consumers",medium,critical,Runtime+WorldModel+Integration,"An interfaces change is proposed without its matching model and three-owner review","Require same-PR schema/model updates; run full contract validation; notify every consumer","Reject or revert the unapproved PR before merge",monitoring,2026-08-14,AGENTS.md
R-008,scope,"LLM work can consume capacity before the deterministic path is stable",medium,high,Project-Owner,"Fixed scripted path fails ten consecutive runs or critical P1 integration slips more than one week","Prioritize deterministic execution verification and replay; keep model runner optional","Remove the natural-language layer and preserve the deterministic evaluation",monitoring,2026-08-14,docs/decisions/ADR-0001-p0-scope.md
R-009,security,"Continuous code and dependency security review is not a required gate",medium,high,Security+Integration,"A dependency or sensitive boundary changes without automated security review","Add least-privilege code/dependency scanning and a review standard; triage findings by severity","Block release for unresolved critical/high findings or document a time-bounded human exception",open,2026-08-14,SECURITY.md
R-010,schedule,"P3 start depends on Gazebo evidence and externally blocked hardware inputs",high,high,PMO,"P1 formal evaluation or hardware input freeze misses its baseline date","Track both dependency chains weekly; reallocate optional UI/LLM capacity to the critical path","Rebaseline P3 and communicate a simulation-only release scope",open,2026-08-14,docs/project-management/plan.md
