path_id,channel,source_net,source_endpoint,guard_component,guard_input,guard_output,destination_endpoint,active_level,default_state,independent_from,software_dependency,latch_clear_condition,freeze_status,verification,evidence_ref,fault_integrity_policy
SG-A-ENABLE,A,SAFE_ENABLE_A,J_SAFE.1,U4,SAFE_A_IN,NSLEEP_SAFE_A,U1.25_nSLEEP,high_permissive,low_inhibit,B,no,upstream dual-channel manual reset plus both channels healthy,CANDIDATE_SAFETY_PATH,open_short_cross_fault timing,NOT_ATTACHED,not_applicable
SG-B-ENABLE-1,B,SAFE_ENABLE_B,J_SAFE.3,U5,SAFE_B_IN,EN1_SAFE_B,U1.30_EN1,high_permissive,low_inhibit,A,no,upstream dual-channel manual reset plus both channels healthy,CANDIDATE_SAFETY_PATH,open_short_cross_fault timing,NOT_ATTACHED,not_applicable
SG-B-ENABLE-2,B,SAFE_ENABLE_B,J_SAFE.3,U5,SAFE_B_IN,EN2_SAFE_B,U1.31_EN2,high_permissive,low_inhibit,A,no,upstream dual-channel manual reset plus both channels healthy,CANDIDATE_SAFETY_PATH,open_short_cross_fault timing,NOT_ATTACHED,not_applicable
SG-B-ENABLE-3,B,SAFE_ENABLE_B,J_SAFE.3,U5,SAFE_B_IN,EN3_SAFE_B,U1.32_EN3,high_permissive,low_inhibit,A,no,upstream dual-channel manual reset plus both channels healthy,CANDIDATE_SAFETY_PATH,open_short_cross_fault timing,NOT_ATTACHED,not_applicable
SG-B-ENABLE-4,B,SAFE_ENABLE_B,J_SAFE.3,U5,SAFE_B_IN,EN4_SAFE_B,U1.33_EN4,high_permissive,low_inhibit,A,no,upstream dual-channel manual reset plus both channels healthy,CANDIDATE_SAFETY_PATH,open_short_cross_fault timing,NOT_ATTACHED,not_applicable
SG-A-RETURN,A,SAFE_RETURN_A,J_SAFE.2,U4,SAFE_A_RETURN,SAFE_A_LOOP,upstream_channel_A_return,closed_loop,open_inhibit,B,no,upstream dual-channel manual reset,CANDIDATE_SAFETY_PATH,continuity and cross-fault isolation,NOT_ATTACHED,not_applicable
SG-B-RETURN,B,SAFE_RETURN_B,J_SAFE.4,U5,SAFE_B_RETURN,SAFE_B_LOOP,upstream_channel_B_return,closed_loop,open_inhibit,A,no,upstream dual-channel manual reset,CANDIDATE_SAFETY_PATH,continuity and cross-fault isolation,NOT_ATTACHED,not_applicable
SG-A-FAULT,A,DRV_NFAULT,U1.41,U4,FAULT_A_IN,NSLEEP_SAFE_A,U1.25_nSLEEP,low_fault,low_inhibit,B,no,manual reset after fault source removed,CANDIDATE_SAFETY_PATH,nFAULT fault injection and latch timing,NOT_ATTACHED,open_or_short_inhibits
SG-B-FAULT,B,DRV_NFAULT,U1.41,U5,FAULT_B_IN,EN1-4_SAFE_B,"U1.30_EN1;U1.31_EN2;U1.32_EN3;U1.33_EN4",low_fault,low_inhibit,A,no,manual reset after fault source removed,CANDIDATE_SAFETY_PATH,nFAULT fault injection and latch timing,NOT_ATTACHED,open_or_short_inhibits
SG-A-POWER,A,POWER_GOOD_LOCAL,U6.PGOOD,U4,POWER_GOOD_A,NSLEEP_SAFE_A,U1.25_nSLEEP,high_permissive,low_inhibit,B,no,manual reset after rail recovery,CANDIDATE_SAFETY_PATH,UVLO and brownout test,NOT_ATTACHED,not_applicable
SG-B-POWER,B,POWER_GOOD_LOCAL,U6.PGOOD,U5,POWER_GOOD_B,EN1-4_SAFE_B,"U1.30_EN1;U1.31_EN2;U1.32_EN3;U1.33_EN4",high_permissive,low_inhibit,A,no,manual reset after rail recovery,CANDIDATE_SAFETY_PATH,UVLO and brownout test,NOT_ATTACHED,not_applicable
