harness_id,from_ref,to_interface,length_m,voltage_v,max_current_a,awg,copper_area_mm2,parallel_supply,parallel_return,conductors,shield,min_bend_radius_mm,required_bend_radius_mm,color_code,mating_part_status,owner,source_endpoint,destination_endpoint,pin_map,active_semantics,shield_semantics,drain_semantics,signal_conductors,shield_conductors
H01,J1,48V_BATTERY,0.45,48,8,16,1.31,2,2,4,no,20,20,"red red black black",MPN_REQUIRED,Electrical Owner,CONTROLLER_J1,BATTERY_OR_BENCH,"J1.1->BAT.+;J1.2->BAT.+;J1.3->BAT.-;J1.4->BAT.-",VBAT_RAW_DC,UNSHIELDED_POWER,NONE,4,0
H02,J2,J_PWR,0.60,12,10,16,1.31,2,2,4,no,15,15,"yellow yellow black black",MPN_REQUIRED,Motion Owner,CONTROLLER_J2,TRACTION_CHILDBOARD_J_PWR,"J2.1->J_PWR.1;J2.2->J_PWR.2;J2.3->J_PWR.3;J2.4->J_PWR.4",12V_MOTOR_AUX_DC,UNSHIELDED_POWER,NONE,4,0
H03,J3,JETSON_DEVKIT_DC_INPUT,0.35,12,3.34,18,0.823,2,2,4,no,12,12,"orange orange black black",MPN_REQUIRED,System Owner,CONTROLLER_J3,JETSON_DEVKIT_DC_INPUT,"J3.1->DEVKIT.+;J3.2->DEVKIT.+;J3.3->DEVKIT.-;J3.4->DEVKIT.-",JETSON_12V_DC,UNSHIELDED_POWER,NONE,4,0
H04,J4,JETSON_MCU_BACKPLANE,0.30,3.3,0.5,24,0.205,2,2,20,overall,8,8,"numbered twisted signal set",MPN_REQUIRED,Electrical Owner,CONTROLLER_J4,JETSON_MCU_BACKPLANE,"J4.1-20->BACKPLANE.1-20",3V3_LOGIC_AND_DIGITAL_SIGNALS,OVERALL_BRAID,SHIELD_DRAIN_TERMINATION_TBD,20,0
H05,J5,CAN_A_TRUNK,0.80,5,0.1,24,0.205,1,1,4,braid,8,8,"white blue black drain",MPN_REQUIRED,Electrical Owner,CONTROLLER_J5,CAN_FIELD_ENDPOINT_A,"J5.1->CANH;J5.2->CANL;J5.3->GND_CAN_ISO;SHIELD_DRAIN->DRAIN_TERMINATION_TBD",CAN_FD_DIFFERENTIAL,BRAID,DRAIN_TO_CHASSIS_AT_CABLE_ENTRY_TBD,3,1
H06,J6,CAN_B_TRUNK,0.80,5,0.1,24,0.205,1,1,4,braid,8,8,"white blue black drain",MPN_REQUIRED,Electrical Owner,CONTROLLER_J6,CAN_FIELD_ENDPOINT_B,"J6.1->CANH;J6.2->CANL;J6.3->GND_CAN_ISO;SHIELD_DRAIN->DRAIN_TERMINATION_TBD",CAN_FD_DIFFERENTIAL,BRAID,DRAIN_TO_CHASSIS_AT_CABLE_ENTRY_TBD,3,1
H07,J10,DUAL_CHANNEL_ESTOP,1.00,12,0.2,22,0.326,1,1,4,overall,10,10,"red white orange blue",MPN_REQUIRED,Safety Owner,CONTROLLER_J10,ESTOP_DEVICE,"J10.1->ESTOP.A_OUT;J10.2->ESTOP.A_RETURN;J10.3->ESTOP.B_OUT;J10.4->ESTOP.B_RETURN",DUAL_CHANNEL_12V_SAFETY_LOOP,OVERALL_BRAID,SHIELD_DRAIN_TERMINATION_TBD,4,0
H08,J11,SAFETY_GATE_OUTPUT,0.60,3.3,0.2,22,0.326,1,1,4,overall,8,8,"violet white black red",MPN_REQUIRED,Safety Owner,CONTROLLER_J11_CURRENT,UNDEFINED_SINGLE_CHANNEL_DRIVER_ENDPOINT,"J11.1->SAFE_ENABLE_SINGLE;J11.2->ESTOP_SENSE;J11.3->GND;J11.4->3V3_LOGIC",SINGLE_MOTOR_ENABLE_SAFE_PLUS_DIAGNOSTIC,OVERALL_BRAID,SHIELD_DRAIN_TERMINATION_TBD,4,0
H09,J10-ECO,J_SAFE,0.80,12,0.2,22,0.326,1,1,4,overall,10,10,"red white orange blue",MPN_REQUIRED,Safety Owner,CONTROLLER_J10_K1_K2_SAFETY_ECO,TRACTION_CHILDBOARD_J_SAFE,"J10-ECO.A_OUT->J_SAFE.1;J10-ECO.A_RETURN->J_SAFE.2;J10-ECO.B_OUT->J_SAFE.3;J10-ECO.B_RETURN->J_SAFE.4",DUAL_CHANNEL_HARDWIRED_SAFETY_PERMISSIVE,OVERALL_BRAID,DRAIN_TO_CHASSIS_AT_CONTROLLER_ONLY_TBD,4,0
H10,J5-or-J6-ECO,J_CAN,0.80,5,0.1,24,0.205,1,1,4,braid,8,8,"white blue black drain",MPN_REQUIRED,Harness Owner,CONTROLLER_J5_OR_J6_ISOLATED_CAN,TRACTION_CHILDBOARD_J_CAN,"J5/J6.1->J_CAN.1;J5/J6.2->J_CAN.2;J5/J6.3->J_CAN.3;SHIELD_DRAIN->DRAIN_TERMINATION_TBD",CAN_FD_DIFFERENTIAL,BRAID,DRAIN_TO_CHASSIS_AT_CABLE_ENTRY_TBD,3,1
