reference,candidate,required_approver,decision,approved_mpn,datasheet_revision,approved_by,approved_at,evidence_ref
U1,DRV8962DDVR,Electrical and Safety Owners,PENDING,,SLVSFV6B,, ,SRC-TI-DRV8962-DS
U2,TBD_TRACTION_CONTROL_MCU,Controls Owner,PENDING,,,,,NOT_ATTACHED
U3,TBD_ISOLATED_CAN_FD_INTERFACE,Electrical Owner,PENDING,,,,,NOT_ATTACHED
U4-U5,TBD_HARDWARE_SAFETY_GATE,Safety Owner,PENDING,,,,,NOT_ATTACHED
F1,TBD_DC_FUSE,Electrical Owner,PENDING,,,,,NOT_ATTACHED
Q1,TBD_20V_MIN_BLOCKING_STAGE,Electrical Owner,PENDING,,,,,NOT_ATTACHED
Q2,TBD_PULSE_RATED_SWITCH,Electrical Owner,PENDING,,,,,NOT_ATTACHED
D1,TBD_TVS_OR_ACTIVE_CLAMP,Electrical Owner,PENDING,,,,,NOT_ATTACHED
C1,1uF_X7R_16V_MIN,Electrical Owner,PENDING,,,,,NOT_ATTACHED
C2,0.1uF_X7R_VM_RATED,Electrical Owner,PENDING,,,,,NOT_ATTACHED
C3,1uF_X7R_10V_MIN,Electrical Owner,PENDING,,,,,NOT_ATTACHED
C4-C7,0.01uF_X7R_VM_RATED,Electrical Owner,PENDING,,,,,NOT_ATTACHED
C8-CBULK,TBD_LOW_ESR_BULK_BANK,Electrical Owner,PENDING,,,,,NOT_ATTACHED
R1-R4,TBD_IPROPI_RESISTOR,Electrical Owner,PENDING,,,,,NOT_ATTACHED
R5-RN,TBD_CONFIGURATION_NETWORK,Electrical Owner,PENDING,,,,,NOT_ATTACHED
HS1,TBD_DDV_HEATSINK,Mechanical Owner,PENDING,,,,,NOT_ATTACHED
J_PWR,TBD_KEYED_4PIN_POWER_CONNECTOR,Harness Owner,PENDING,,,,,NOT_ATTACHED
J_SAFE,TBD_KEYED_4PIN_SAFETY_CONNECTOR,Safety Owner,PENDING,,,,,NOT_ATTACHED
J_CAN,TBD_KEYED_CAN_CONNECTOR,Harness Owner,PENDING,,,,,NOT_ATTACHED
J_ML-J_MR,TBD_KEYED_2PIN_MOTOR_CONNECTOR,Harness Owner,PENDING,,,,,NOT_ATTACHED
J_ENC_L-J_ENC_R,TBD_KEYED_4PIN_ENCODER_CONNECTOR,Harness Owner,PENDING,,,,,NOT_ATTACHED
M1-M2,Pololu 4753,Motion and System Owners,PENDING,,,,,SRC-POLOLU-4753-PRODUCT
