harness_id,source_connector_candidate,destination_connector_candidate,contact_candidate,wire_or_cable_candidate,gauge_compatibility,shield_termination,selection_status,required_closure
H01,battery-side keyed disconnect selected with pack,Molex 43025-0400 mating J1,Molex 43030-0010 18-20 AWG candidate,UL1015 18 AWG 105C stranded copper x4,18 AWG at Micro-Fit candidate,DRAIN_NOT_APPLICABLE,SUPPLIER_INTERFACE_REQUIRED,confirm battery disconnect and Micro-Fit terminal applicator drawing
H02,Molex 43025-0400 mating J2,Molex 43025-0400 mating J_PWR,Molex 43030-0010 18-20 AWG candidate,UL1015 18 AWG 105C stranded copper x4,18 AWG at both Micro-Fit candidates,DRAIN_NOT_APPLICABLE,CANDIDATE_DEFINED,confirm terminal current derating and childboard header
H03,Molex 43025-0400 mating J3,purchased Jetson input adapter,Molex 43030-0010 18-20 AWG candidate,UL1015 18 AWG 105C stranded copper x4,18 AWG at Micro-Fit candidate,DRAIN_NOT_APPLICABLE,SUPPLIER_INTERFACE_REQUIRED,confirm purchased Jetson revision polarity and mating input
H04,2x10 keyed IDC socket mating J4,2x10 keyed IDC socket at backplane,IDC contact integral to selected socket,UL2651 20-conductor 28 AWG shielded ribbon candidate,adapter required because J4 header is unkeyed,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,ECO_REQUIRED,replace unkeyed pin header or approve keyed shroud and strain relief
H05,Molex 43025-0400 mating J5,field CAN connector selected with endpoint,Molex 43030-0007 20-24 AWG candidate,igus chainflex CFBUS CAN 24 AWG class,24 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,SUPPLIER_INTERFACE_REQUIRED,confirm CAN endpoint connector and 120 ohm cable data
H06,Molex 43025-0400 mating J6,field CAN connector selected with endpoint,Molex 43030-0007 20-24 AWG candidate,igus chainflex CFBUS CAN 24 AWG class,24 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,SUPPLIER_INTERFACE_REQUIRED,confirm CAN endpoint connector and 120 ohm cable data
H07,Molex 43025-0400 mating J10,dual-channel E-stop captive cable interface,Molex 43030-0007 20-24 AWG candidate,4x22 AWG shielded high-flex safety cable,22 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,SAFETY_REVIEW_REQUIRED,confirm E-stop contact ratings colors and positive-opening device interface
H08,Molex 43025-0400 mating J11,service-only diagnostic adapter,Molex 43030-0007 20-24 AWG candidate,4x22 AWG shielded high-flex cable,22 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,DO_NOT_CONNECT_TO_J_SAFE,retain as diagnostic harness only
H09,Molex 43025-0400 mating J10 ECO,Molex 43025-0400 mating J_SAFE,Molex 43030-0007 20-24 AWG candidate,4x22 AWG shielded high-flex safety cable,22 AWG at both Micro-Fit candidates,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,ECO_AND_SAFETY_REVIEW_REQUIRED,release controller ECO and prove channel independence
H10,Molex 43025-0400 mating J5 or J6,Molex 43025-0400 mating J_CAN,Molex 43030-0007 20-24 AWG candidate,igus chainflex CFBUS CAN 24 AWG class,24 AWG at both Micro-Fit candidates,DRAIN_TO_CHASSIS_AT_CONTROLLER_ENTRY_ONLY,CANDIDATE_DEFINED,confirm childboard header and CAN cable impedance
H11,Molex Mini-Fit Jr 39-01-2020 candidate,motor pigtail adapter selected with M1,Molex 39-00-0077 16 AWG candidate,UL1015 16 AWG 105C stranded copper pair,16 AWG at Mini-Fit candidate,DRAIN_NOT_APPLICABLE,SUPPLIER_INTERFACE_REQUIRED,confirm motor pigtail and contact current derating
H12,Molex Mini-Fit Jr 39-01-2020 candidate,motor pigtail adapter selected with M2,Molex 39-00-0077 16 AWG candidate,UL1015 16 AWG 105C stranded copper pair,16 AWG at Mini-Fit candidate,DRAIN_NOT_APPLICABLE,SUPPLIER_INTERFACE_REQUIRED,confirm motor pigtail and contact current derating
H13,Molex 43025-0400 mating J_ENC_L,encoder pigtail adapter selected with M1,Molex 43030-0007 20-24 AWG candidate,4x24 AWG shielded high-flex encoder cable,24 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CHILDBOARD_ENTRY_ONLY,SUPPLIER_INTERFACE_REQUIRED,confirm encoder voltage output type and pigtail
H14,Molex 43025-0400 mating J_ENC_R,encoder pigtail adapter selected with M2,Molex 43030-0007 20-24 AWG candidate,4x24 AWG shielded high-flex encoder cable,24 AWG at Micro-Fit candidate,DRAIN_TO_CHASSIS_AT_CHILDBOARD_ENTRY_ONLY,SUPPLIER_INTERFACE_REQUIRED,confirm encoder voltage output type and pigtail
