serial,build_date,touch_minutes,first_pass,first_failed_gate,defect_code,rework_cycles,final_result,evidence_uri
WB1-EVT-001,,,,,,,NOT_BUILT,
WB1-EVT-002,,,,,,,NOT_BUILT,
WB1-EVT-003,,,,,,,NOT_BUILT,
WB1-EVT-004,,,,,,,NOT_BUILT,
WB1-EVT-005,,,,,,,NOT_BUILT,
WB1-EVT-006,,,,,,,NOT_BUILT,
WB1-EVT-007,,,,,,,NOT_BUILT,
WB1-EVT-008,,,,,,,NOT_BUILT,
WB1-EVT-009,,,,,,,NOT_BUILT,
WB1-EVT-010,,,,,,,NOT_BUILT,
WB1-EVT-011,,,,,,,NOT_BUILT,
WB1-EVT-012,,,,,,,NOT_BUILT,
WB1-EVT-013,,,,,,,NOT_BUILT,
WB1-EVT-014,,,,,,,NOT_BUILT,
WB1-EVT-015,,,,,,,NOT_BUILT,
WB1-EVT-016,,,,,,,NOT_BUILT,
WB1-EVT-017,,,,,,,NOT_BUILT,
WB1-EVT-018,,,,,,,NOT_BUILT,
WB1-EVT-019,,,,,,,NOT_BUILT,
WB1-EVT-020,,,,,,,NOT_BUILT,
